FromZone,ToZone,ArHour,Type,Dir,Lane,OrigWght,RevWght
5297,4608,9,Empty,NB,GP,15.55036974,14.930022928510521
5199,4653,9,Empty,NB,GP,15.55036974,14.930022928510521
5094,4540,13,Empty,NB,GP,15.55036974,11.479607544709314
5306,4650,13,Empty,NB,GP,15.55036974,11.479607544709314
5297,4653,14,Empty,NB,GP,15.55036974,18.359374967213167
5297,4644,8,Empty,NB,GP,15.55036974,20.088010377516746
5297,4644,10,Empty,NB,GP,15.55036974,18.086881395794087
4830,4659,8,Empty,NB,GP,15.55036974,20.088010377516746
5297,4627,13,Empty,NB,GP,15.55036974,11.479607544709314
5064,4652,17,Empty,NB,GP,15.55036974,15.910536881222805
5211,4644,9,Empty,NB,GP,15.55036974,14.930022928510521
5110,4644,8,Empty,NB,GP,15.55036974,20.088010377516746
4706,4627,10,Empty,NB,GP,15.55036974,18.086881395794087
5297,4653,11,Empty,NB,GP,15.55036974,17.20788992714359
5311,4608,14,Empty,NB,GP,15.55036974,18.359374967213167
5312,4627,16,Empty,NB,GP,15.55036974,24.07610748756422
5297,4633,16,Empty,NB,GP,15.55036974,24.07610748756422
5297,4624,16,Empty,NB,GP,15.55036974,24.07610748756422
4830,4653,16,Empty,NB,GP,15.55036974,24.07610748756422
5223,4652,12,Empty,NB,GP,15.55036974,19.09571107465268
5113,4608,7,Empty,NB,GP,15.55036974,48.04925745561218
5297,4608,15,Empty,NB,GP,15.55036974,17.76221576851955
5297,4608,12,Empty,NB,GP,15.55036974,19.09571107465268
4830,4608,10,Empty,NB,GP,15.55036974,18.086881395794087
5223,4624,14,Empty,NB,GP,15.55036974,18.359374967213167
5306,4608,9,Empty,NB,GP,15.55036974,14.930022928510521
5297,4653,8,Empty,NB,GP,15.55036974,20.088010377516746
5223,4643,8,Empty,NB,GP,15.55036974,20.088010377516746
5311,4595,12,Empty,NB,GP,15.55036974,19.09571107465268
5298,4597,7,Empty,NB,GP,15.55036974,48.04925745561218
5286,4540,12,Empty,NB,GP,15.55036974,19.09571107465268
5141,4641,15,Empty,NB,GP,15.55036974,17.76221576851955
5299,4653,11,Empty,NB,GP,15.55036974,17.20788992714359
5223,4624,7,Empty,NB,GP,15.55036974,48.04925745561218
5297,4590,15,Empty,NB,GP,15.55036974,17.76221576851955
5297,4608,15,Empty,NB,GP,15.55036974,17.76221576851955
5211,4626,14,Empty,NB,GP,15.55036974,18.359374967213167
5064,4607,17,Empty,NB,GP,15.55036974,15.910536881222805
5286,4653,11,Empty,NB,GP,15.55036974,17.20788992714359
4740,4644,10,Empty,NB,GP,15.55036974,18.086881395794087
5297,4607,11,Empty,NB,GP,15.55036974,17.20788992714359
5297,4653,15,Empty,NB,GP,15.55036974,17.76221576851955
5297,4531,7,Empty,NB,GP,15.55036974,48.04925745561218
5306,4643,13,Empty,NB,GP,15.55036974,11.479607544709314
5304,4631,17,Empty,NB,GP,15.55036974,15.910536881222805
5306,4631,10,Empty,NB,GP,15.55036974,18.086881395794087
5297,4633,9,Empty,NB,GP,15.55036974,14.930022928510521
5223,4643,17,Empty,NB,GP,15.55036974,15.910536881222805
5297,4644,18,Empty,NB,GP,15.55036974,20.989034526370286
5110,4644,18,Empty,NB,GP,15.55036974,20.989034526370286
5297,4633,18,Empty,NB,GP,15.55036974,20.989034526370286
5297,4608,18,Empty,NB,GP,15.55036974,20.989034526370286
