HOUR,TIME,SY_GP_MAX,SY_GP_OPEN,SY_GP_VEH,SY_GP_STL,SY_GP_STV,SY_RE_MAX,SY_RE_OPEN,SY_RE_VEH,SY_RE_STL,SY_RE_STV,SY_SE_MAX,SY_SE_OPEN,SY_SE_VEH,SY_SE_STL,SY_SE_STV,SY_SB_MAX,SY_SB_OPEN,SY_SB_VEH,SY_SB_STL,SY_SB_STV,OM_GP_MAX,OM_GP_OPEN,OM_GP_VEH,OM_GP_STL,OM_GP_STV,OM_RE_MAX,OM_RE_OPEN,OM_RE_VEH,OM_RE_STL,OM_RE_STV,OM_SE_MAX,OM_SE_OPEN,OM_SE_VEH,OM_SE_STL,OM_SE_STV,OM_SB_MAX,OM_SB_OPEN,OM_SB_VEH,OM_SB_STL,OM_SB_STV,OMC_GP_MAX,OMC_GP_OPEN,OMC_GP_VEH,OMC_GP_STL,OMC_GP_STV,OMC_SP_MAX,OMC_SP_OPEN,OMC_SP_VEH,OMC_SP_STL,OMC_SP_STV,OMC_SB_MAX,OMC_SB_OPEN,OMC_SB_VEH,OMC_SB_STL,OMC_SB_STV,OME_GP_MAX,OME_GP_OPEN,OME_GP_VEH,OME_GP_STL,OME_GP_STV,OME_RE_MAX,OME_RE_OPEN,OME_RE_VEH,OME_RE_STL,OME_RE_STV,OME_SE_MAX,OME_SE_OPEN,OME_SE_VEH,OME_SE_STL,OME_SE_STV,OME_SB_MAX,OME_SB_OPEN,OME_SB_VEH,OME_SB_STL,OME_SB_STV,OMEC_GP_MAX,OMEC_GP_OPEN,OMEC_GP_VEH,OMEC_GP_STL,OMEC_GP_STV,OMEC_SP_MAX,OMEC_SP_OPEN,OMEC_SP_VEH,OMEC_SP_STL,OMEC_SP_STV,OMEC_SB_MAX,OMEC_SB_OPEN,OMEC_SB_VEH,OMEC_SB_STL,OMEC_SB_STV
0,1,20,10,56,6,78,20,10,62,6,87,20,4,116,0,145,5,5,768,0,615,6,4,60,0,76,6,2,79,0,77,6,0,125,0,145,2,2,768,0,615,2,1,23,0,19,2,1,23,0,21,4,4,89,0,50,6,1,60,0,76,6,1,79,0,77,6,1,125,0,145,2,2,768,0,615,1,1,23,0,19,1,1,23,0,21,4,4,89,0,50
1,2,20,10,56,6,78,20,10,62,6,87,20,4,116,0,145,5,5,768,0,615,6,4,60,0,76,6,2,79,0,77,6,0,125,0,145,2,2,768,0,615,2,1,23,0,19,2,1,23,0,21,4,4,89,0,50,6,1,60,0,76,6,1,79,0,77,6,1,125,0,145,2,2,768,0,615,1,1,23,0,19,1,1,23,0,21,4,4,89,0,50
2,3,20,10,56,10,78,20,10,62,6,87,20,4,116,0,145,5,5,768,0,615,6,4,60,0,76,6,2,79,0,77,6,0,125,0,145,2,2,768,0,615,2,1,23,0,19,2,1,23,0,21,4,4,89,0,50,6,1,60,0,76,6,1,79,0,77,6,1,125,0,145,2,2,768,0,615,1,1,23,0,19,1,1,23,0,21,4,4,89,0,50
3,4,25,10,56,10,78,25,12,62,12,87,25,8,116,0,145,5,5,768,0,615,6,4,60,0,76,6,2,79,0,77,6,0,125,0,145,2,2,768,0,615,2,1,23,0,19,2,1,23,0,21,4,4,89,0,50,6,1,60,0,76,6,1,79,0,77,6,1,125,0,145,2,2,768,0,615,1,1,23,0,19,1,1,23,0,21,4,4,89,0,50
4,5,25,10,56,10,78,25,12,62,12,87,25,8,116,0,145,5,5,768,0,615,6,4,60,0,76,6,2,79,0,77,6,0,125,0,145,2,2,768,0,615,2,1,23,0,19,2,1,23,0,21,4,4,89,0,50,6,1,60,0,76,6,1,79,0,77,6,1,125,0,145,2,2,768,0,615,1,1,23,0,19,1,1,23,0,21,4,4,89,0,50
5,6,25,10,56,10,78,25,12,62,12,87,25,8,116,0,145,5,5,768,0,615,13,5,60,0,76,13,3,79,0,77,13,4,125,0,145,2,2,768,0,615,7,5,23,0,19,7,2,23,0,21,4,4,89,0,50,10,1,60,0,76,10,1,79,0,77,10,1,125,0,145,2,2,768,0,615,7,1,23,0,19,7,1,23,0,21,4,4,89,0,50
6,7,25,10,56,10,78,25,12,62,12,87,25,8,116,0,145,5,5,768,0,615,13,5,60,0,76,13,3,79,0,77,13,4,125,0,145,2,2,768,0,615,8,6,23,0,19,8,2,23,0,21,4,4,89,0,50,10,1,60,0,76,10,1,79,0,77,10,1,125,0,145,2,2,768,0,615,8,1,23,0,19,8,1,23,0,21,4,4,89,0,50
7,8,25,10,56,10,78,25,12,62,12,87,25,8,116,0,145,5,5,768,0,615,13,5,60,0,76,13,3,79,0,77,13,4,125,0,145,2,2,768,0,615,8,6,23,0,19,8,2,23,0,21,4,4,89,0,50,10,1,60,0,76,10,1,79,0,77,10,1,125,0,145,2,2,768,0,615,8,1,23,0,19,8,1,23,0,21,4,4,89,0,50
8,9,25,10,56,10,78,25,12,62,12,87,25,8,116,0,145,5,5,768,0,615,13,5,60,0,76,13,3,79,0,77,13,4,125,0,145,2,2,768,0,615,8,6,23,0,19,8,2,23,0,21,4,4,89,0,50,10,1,60,0,76,10,1,79,0,77,10,1,125,0,145,2,2,768,0,615,8,1,23,0,19,8,1,23,0,21,4,4,89,0,50
9,10,25,10,56,10,78,25,12,62,12,87,25,8,116,0,145,5,5,768,0,615,13,5,60,0,76,13,3,79,0,77,13,4,125,0,145,2,2,768,0,615,10,7,23,0,19,10,3,23,0,21,4,4,89,0,50,10,1,60,0,76,10,1,79,0,77,10,1,125,0,145,2,2,768,0,615,10,1,23,0,19,10,1,23,0,21,4,4,89,0,50
