FromZone,ToZone,ArHour,Purpose,POE,Lane,Dir,OrigWght,RevWght
4829,4208,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5283,4430,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4829,4503,1,HBO,SY,General,NB,4.4188,2.3862611621942205
4878,4033,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5151,3859,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5298,4227,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4842,4507,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4791,4469,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5283,3831,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4696,4614,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4815,4503,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5306,4664,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4727,4475,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5273,4646,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5276,4611,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5312,4652,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5283,4339,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4737,4503,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4912,2104,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5064,4637,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5087,4430,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4961,4663,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5120,4503,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4710,4661,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4737,3561,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5304,4529,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5116,4646,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4969,4430,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5144,2730,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4904,4208,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5311,4646,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4737,4453,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5283,4185,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5273,1925,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5285,3833,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5012,2144,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4737,4339,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5122,4660,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4871,4660,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5311,4646,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5023,4339,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5306,4308,1,HBO,SY,General,NB,4.4188,2.3862611621942205
4737,4223,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5064,4242,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5206,4315,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5313,4664,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4707,4443,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5306,3646,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4815,4469,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4789,4480,1,HBS,SY,General,NB,4.4188,2.3862611621942205
3014,5311,1,HBO,OM,General,SB,37.6344,26.09291662763262
4531,5311,1,HBW,OM,General,SB,37.6344,26.09291662763262
4503,4740,1,HBS,OM,General,SB,37.6344,26.09291662763262
4208,5064,1,HBS,OM,General,SB,37.6344,26.09291662763262
4643,5294,1,HBS,OM,General,SB,37.6344,26.09291662763262
4502,5304,1,HBS,OM,General,SB,37.6344,26.09291662763262
4430,5311,1,HBS,OM,General,SB,37.6344,26.09291662763262
4641,5023,1,HBW,OM,General,SB,37.6344,26.09291662763262
4470,5304,1,HBW,OM,General,SB,37.6344,26.09291662763262
4662,5291,1,HBS,SY,General,SB,30.4454,26.09291662763262
2626,5285,1,HBS,SY,General,SB,30.4454,26.09291662763262
4662,5311,1,HBW,SY,General,SB,30.4454,26.09291662763262
4503,5291,1,HBW,SY,General,SB,30.4454,26.09291662763262
4662,5283,1,HBS,SY,General,SB,30.4454,26.09291662763262
4515,4737,1,HBO,SY,General,SB,30.4454,26.09291662763262
4443,5050,1,HBS,SY,General,SB,30.4454,26.09291662763262
4238,4890,1,HBW,SY,General,SB,30.4454,26.09291662763262
4208,5094,1,HBS,SY,General,SB,30.4454,26.09291662763262
4443,4912,1,HBW,SY,General,SB,30.4454,26.09291662763262
4347,5283,1,HBS,SY,General,SB,30.4454,26.09291662763262
4145,5311,1,HBO,SY,General,SB,30.4454,26.09291662763262
4664,4829,1,HBS,SY,General,SB,30.4454,26.09291662763262
3747,4829,1,HBS,SY,General,SB,30.4454,26.09291662763262
4661,5306,1,HBS,SY,General,SB,30.4454,26.09291662763262
4539,4974,1,HBW,SY,General,SB,30.4454,26.09291662763262
4116,4877,1,HBW,SY,General,SB,30.4454,26.09291662763262
4016,4878,1,HBW,SY,General,SB,30.4454,26.09291662763262
4646,5012,1,HBS,SY,General,SB,30.4454,26.09291662763262
4664,5302,1,HBS,SY,General,SB,30.4454,26.09291662763262
4662,4829,1,HBW,SY,General,SB,30.4454,26.09291662763262
5297,4640,1,HBS,SY,Special,NB,29.9926,62.61517450038668
5302,3595,1,HBS,SY,Special,NB,29.9926,62.61517450038668
4877,4646,1,HBS,SY,Special,NB,29.9926,62.61517450038668
5030,4616,1,HBO,SY,Special,NB,29.9926,62.61517450038668
4904,4661,1,HBO,SY,Special,NB,29.9926,62.61517450038668
5064,3447,1,HBW,SY,Special,NB,29.9926,62.61517450038668
4829,3858,1,HBW,SY,Special,NB,29.9926,62.61517450038668
4803,4443,1,HBS,SY,Special,NB,29.9926,62.61517450038668
4791,4430,1,HBS,SY,Special,NB,29.9926,62.61517450038668
5211,4647,2,HBW,OM,General,NB,5.1455,2.312515602096969
5094,4659,2,HBW,OM,General,NB,5.1455,2.312515602096969
4829,2681,2,HBW,OM,General,NB,5.1455,2.312515602096969
5306,4540,2,HBW,OM,General,NB,5.1455,2.312515602096969
4695,4007,2,HBO,OM,General,NB,5.1455,2.312515602096969
5299,4340,2,HBW,OM,General,NB,5.1455,2.312515602096969
5304,4480,2,HBW,OM,General,NB,5.1455,2.312515602096969
4948,3180,2,HBW,OM,General,NB,5.1455,2.312515602096969
4806,4312,2,HBS,OM,General,NB,5.1455,2.312515602096969
5305,4643,2,HBS,OM,General,NB,5.1455,2.312515602096969
5304,4430,2,HBS,OM,General,NB,5.1455,2.312515602096969
4912,2424,2,HBW,OM,General,NB,5.1455,2.312515602096969
5311,4430,2,HBS,OM,General,NB,5.1455,2.312515602096969
4888,4339,2,HBS,OM,General,NB,5.1455,2.312515602096969
5145,4526,2,HBS,OM,General,NB,5.1455,2.312515602096969
5122,4295,2,HBO,OM,General,NB,5.1455,2.312515602096969
5124,4561,2,HBW,OM,General,NB,5.1455,2.312515602096969
5297,4644,2,HBO,OM,General,NB,5.1455,2.312515602096969
4949,4643,2,HBW,OM,General,NB,5.1455,2.312515602096969
5304,4660,2,HBW,OM,General,NB,5.1455,2.312515602096969
5297,4644,2,HBW,OM,General,NB,5.1455,2.312515602096969
5311,4374,2,HBO,OM,General,NB,5.1455,2.312515602096969
4921,4325,2,HBW,OM,General,NB,5.1455,2.312515602096969
5304,4660,2,HBW,OM,General,NB,5.1455,2.312515602096969
5123,4332,2,HBS,OM,General,NB,5.1455,2.312515602096969
5297,4644,2,HBS,OM,General,NB,5.1455,2.312515602096969
5311,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
5285,4339,2,HBS,SY,General,NB,4.4188,2.312515602096969
4737,4642,2,HBW,SY,General,NB,4.4188,2.312515602096969
4777,4661,2,HBS,SY,General,NB,4.4188,2.312515602096969
5291,521,2,HBW,SY,General,NB,4.4188,2.312515602096969
5300,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
4759,4544,2,HBW,SY,General,NB,4.4188,2.312515602096969
5311,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
5064,4280,2,HBO,SY,General,NB,4.4188,2.312515602096969
5282,4646,2,HBS,SY,General,NB,4.4188,2.312515602096969
5122,4443,2,HBS,SY,General,NB,4.4188,2.312515602096969
4826,4661,2,HBS,SY,General,NB,4.4188,2.312515602096969
4732,4354,2,HBS,SY,General,NB,4.4188,2.312515602096969
5064,4544,2,HBO,SY,General,NB,4.4188,2.312515602096969
4907,3521,2,HBO,SY,General,NB,4.4188,2.312515602096969
4889,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
4904,4164,2,HBW,SY,General,NB,4.4188,2.312515602096969
5250,4430,2,HBO,SY,General,NB,4.4188,2.312515602096969
5304,4664,2,HBS,SY,General,NB,4.4188,2.312515602096969
4829,4474,2,HBS,SY,General,NB,4.4188,2.312515602096969
4768,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
5285,4660,2,HBS,SY,General,NB,4.4188,2.312515602096969
4950,4640,2,HBS,SY,General,NB,4.4188,2.312515602096969
5064,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
4815,4648,2,HBO,SY,General,NB,4.4188,2.312515602096969
4829,4661,2,HBW,SY,General,NB,4.4188,2.312515602096969
5306,4660,2,HBS,SY,General,NB,4.4188,2.312515602096969
4877,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
5064,4661,2,HBS,SY,General,NB,4.4188,2.312515602096969
4806,4660,2,HBS,SY,General,NB,4.4188,2.312515602096969
4732,3983,2,HBW,SY,General,NB,4.4188,2.312515602096969
4896,2696,2,HBS,SY,General,NB,4.4188,2.312515602096969
4737,4475,2,HBS,SY,General,NB,4.4188,2.312515602096969
4968,4662,2,HBO,SY,General,NB,4.4188,2.312515602096969
5012,4637,2,HBW,SY,General,NB,4.4188,2.312515602096969
5283,4321,2,HBS,SY,General,NB,4.4188,2.312515602096969
5298,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
4728,3809,2,HBS,SY,General,NB,4.4188,2.312515602096969
4907,4664,2,HBS,SY,General,NB,4.4188,2.312515602096969
5283,4529,2,HBS,SY,General,NB,4.4188,2.312515602096969
5311,3749,2,HBW,SY,General,NB,4.4188,2.312515602096969
4896,4660,2,HBS,SY,General,NB,4.4188,2.312515602096969
5012,4475,2,HBS,SY,General,NB,4.4188,2.312515602096969
4733,4638,2,HBS,SY,General,NB,4.4188,2.312515602096969
5298,4525,2,HBO,SY,General,NB,4.4188,2.312515602096969
5291,1444,2,HBW,SY,General,NB,4.4188,2.312515602096969
5235,4155,2,HBW,SY,General,NB,4.4188,2.312515602096969
5107,4280,2,HBO,SY,General,NB,4.4188,2.312515602096969
4897,4339,2,HBS,SY,General,NB,4.4188,2.312515602096969
4780,4402,2,HBS,SY,General,NB,4.4188,2.312515602096969
4941,4662,2,HBW,SY,General,NB,4.4188,2.312515602096969
5151,4443,2,HBS,SY,General,NB,4.4188,2.312515602096969
4877,3246,2,HBO,SY,General,NB,4.4188,2.312515602096969
4906,2479,2,HBW,SY,General,NB,4.4188,2.312515602096969
4826,4641,2,HBS,SY,General,NB,4.4188,2.312515602096969
5304,4661,2,HBS,SY,General,NB,4.4188,2.312515602096969
4877,4640,2,HBS,SY,General,NB,4.4188,2.312515602096969
5297,4642,2,HBS,SY,General,NB,4.4188,2.312515602096969
5283,4646,2,HBS,SY,General,NB,4.4188,2.312515602096969
5311,3711,2,HBO,SY,General,NB,4.4188,2.312515602096969
5030,4651,2,HBO,SY,General,NB,4.4188,2.312515602096969
5311,4662,2,HBW,SY,General,NB,4.4188,2.312515602096969
5311,4339,2,HBS,SY,General,NB,4.4188,2.312515602096969
5070,3778,2,HBO,SY,General,NB,4.4188,2.312515602096969
5311,4430,2,HBS,SY,General,NB,4.4188,2.312515602096969
4696,4127,2,HBS,SY,General,NB,4.4188,2.312515602096969
4818,4430,2,HBW,SY,General,NB,4.4188,2.312515602096969
4734,4646,2,HBS,SY,General,NB,4.4188,2.312515602096969
5291,4620,2,HBO,SY,General,NB,4.4188,2.312515602096969
5064,4456,2,HBS,SY,General,NB,4.4188,2.312515602096969
5304,4642,2,HBS,SY,General,NB,4.4188,2.312515602096969
4890,4127,2,HBW,SY,General,NB,4.4188,2.312515602096969
5122,4453,2,HBS,SY,General,NB,4.4188,2.312515602096969
5283,4411,2,HBW,SY,General,NB,4.4188,2.312515602096969
4969,4443,2,HBS,SY,General,NB,4.4188,2.312515602096969
5124,4503,2,HBS,SY,General,NB,4.4188,2.312515602096969
4791,4660,2,HBS,SY,General,NB,4.4188,2.312515602096969
5064,4378,2,HBS,SY,General,NB,4.4188,2.312515602096969
5283,4642,2,HBS,SY,General,NB,4.4188,2.312515602096969
5304,4430,2,HBO,SY,General,NB,4.4188,2.312515602096969
4842,4660,2,HBS,SY,General,NB,4.4188,2.312515602096969
5304,4227,2,HBW,SY,General,NB,4.4188,2.312515602096969
4803,4661,2,HBO,SY,General,NB,4.4188,2.312515602096969
4829,4664,2,HBW,SY,General,NB,4.4188,2.312515602096969
5307,4660,2,HBW,SY,General,NB,4.4188,2.312515602096969
5300,4293,2,HBW,SY,General,NB,4.4188,2.312515602096969
4723,4050,2,HBO,SY,General,NB,4.4188,2.312515602096969
5145,4637,2,HBS,SY,General,NB,4.4188,2.312515602096969
5030,4476,2,HBO,SY,General,NB,4.4188,2.312515602096969
4829,3061,2,HBW,SY,General,NB,4.4188,2.312515602096969
5012,4637,2,HBS,SY,General,NB,4.4188,2.312515602096969
5311,4642,2,HBS,SY,General,NB,4.4188,2.312515602096969
5112,4660,2,HBS,SY,General,NB,4.4188,2.312515602096969
4896,4411,2,HBO,SY,General,NB,4.4188,2.312515602096969
4904,4453,2,HBS,SY,General,NB,4.4188,2.312515602096969
4630,5304,2,HBW,OM,General,SB,37.6344,22.27165436948214
4643,4842,2,HBO,OM,General,SB,37.6344,22.27165436948214
4629,5302,2,HBS,OM,General,SB,37.6344,22.27165436948214
4536,5069,2,HBW,OM,General,SB,37.6344,22.27165436948214
4631,5283,2,HBS,OM,General,SB,37.6344,22.27165436948214
4591,5299,2,HBW,OM,General,SB,37.6344,22.27165436948214
4591,5283,2,HBS,OM,General,SB,37.6344,22.27165436948214
4443,4950,2,HBS,SY,General,SB,30.4454,22.27165436948214
4443,5060,2,HBS,SY,General,SB,30.4454,22.27165436948214
4614,5297,2,HBS,SY,General,SB,30.4454,22.27165436948214
4656,5007,2,HBS,SY,General,SB,30.4454,22.27165436948214
4339,5311,2,HBS,SY,General,SB,30.4454,22.27165436948214
4443,4829,2,HBS,SY,General,SB,30.4454,22.27165436948214
4662,4829,2,HBW,SY,General,SB,30.4454,22.27165436948214
4235,4961,2,HBW,SY,General,SB,30.4454,22.27165436948214
4543,5165,2,HBO,SY,General,SB,30.4454,22.27165436948214
4590,4829,2,HBW,SY,General,SB,30.4454,22.27165436948214
4224,4984,2,HBW,SY,General,SB,30.4454,22.27165436948214
3047,5030,2,HBO,SY,General,SB,30.4454,22.27165436948214
4642,4829,2,HBW,SY,General,SB,30.4454,22.27165436948214
4235,5249,2,HBS,SY,General,SB,30.4454,22.27165436948214
4556,4829,2,HBO,SY,General,SB,30.4454,22.27165436948214
4662,4829,2,HBW,SY,General,SB,30.4454,22.27165436948214
4662,4829,2,HBW,SY,General,SB,30.4454,22.27165436948214
4513,4878,2,HBO,SY,General,SB,30.4454,22.27165436948214
4443,5283,2,HBW,SY,General,SB,30.4454,22.27165436948214
4907,4570,2,HBO,SY,Special,NB,29.9926,67.64467929842571
4815,4402,2,HBW,SY,Special,NB,29.9926,67.64467929842571
5064,4503,2,HBS,SY,Special,NB,29.9926,67.64467929842571
4716,4637,2,HBS,SY,Special,NB,29.9926,67.64467929842571
5030,4474,2,HBW,SY,Special,NB,29.9926,67.64467929842571
4921,4663,2,HBO,SY,Special,NB,29.9926,67.64467929842571
5283,4336,2,HBW,SY,Special,NB,29.9926,67.64467929842571
5311,4526,2,HBS,SY,Special,NB,29.9926,67.64467929842571
4971,4646,2,HBO,SY,Special,NB,29.9926,67.64467929842571
5304,4263,3,HBS,OM,General,NB,5.1455,2.907273965503004
5173,4661,3,HBS,OM,General,NB,5.1455,2.907273965503004
5298,4200,3,HBW,OM,General,NB,5.1455,2.907273965503004
4974,4526,3,HBW,OM,General,NB,5.1455,2.907273965503004
5042,4643,3,HBS,OM,General,NB,5.1455,2.907273965503004
5064,3765,3,HBO,OM,General,NB,5.1455,2.907273965503004
5283,4339,3,HBS,OM,General,NB,5.1455,2.907273965503004
5285,4516,3,HBW,OM,General,NB,5.1455,2.907273965503004
5283,4480,3,HBW,OM,General,NB,5.1455,2.907273965503004
5311,4443,3,HBS,OM,General,NB,5.1455,2.907273965503004
4851,4543,3,HBS,OM,General,NB,5.1455,2.907273965503004
5306,4145,3,HBS,OM,General,NB,5.1455,2.907273965503004
5297,4663,3,HBW,OM,General,NB,5.1455,2.907273965503004
5064,4339,3,HBO,OM,General,NB,5.1455,2.907273965503004
4728,2515,3,HBS,OM,General,NB,5.1455,2.907273965503004
4818,4315,3,HBO,OM,General,NB,5.1455,2.907273965503004
5030,4631,3,HBW,OM,General,NB,5.1455,2.907273965503004
4818,4503,3,HBW,OM,General,NB,5.1455,2.907273965503004
5297,4568,3,HBS,OM,General,NB,5.1455,2.907273965503004
4830,3725,3,HBW,OM,General,NB,5.1455,2.907273965503004
5072,4526,3,HBS,OM,General,NB,5.1455,2.907273965503004
5304,4526,3,HBW,OM,General,NB,5.1455,2.907273965503004
4821,3334,3,HBO,OM,General,NB,5.1455,2.907273965503004
5299,4630,3,HBW,OM,General,NB,5.1455,2.907273965503004
5311,4425,3,HBS,OM,General,NB,5.1455,2.907273965503004
4876,4526,3,HBS,OM,General,NB,5.1455,2.907273965503004
5297,4551,3,HBS,OM,General,NB,5.1455,2.907273965503004
5283,4430,3,HBO,SY,General,NB,4.4956,2.45883847900076
5300,3809,3,HBS,SY,General,NB,4.4956,2.45883847900076
4755,4430,3,HBS,SY,General,NB,4.4956,2.45883847900076
4815,4438,3,HBW,SY,General,NB,4.4956,2.45883847900076
5283,3707,3,HBW,SY,General,NB,4.4956,2.45883847900076
5297,4026,3,HBS,SY,General,NB,4.4956,2.45883847900076
5116,4646,3,HBS,SY,General,NB,4.4956,2.45883847900076
5283,2063,3,HBW,SY,General,NB,4.4956,2.45883847900076
4965,3798,3,HBW,SY,General,NB,4.4956,2.45883847900076
4818,4475,3,HBS,SY,General,NB,4.4956,2.45883847900076
4777,4661,3,HBS,SY,General,NB,4.4956,2.45883847900076
4907,4642,3,HBW,SY,General,NB,4.4956,2.45883847900076
4829,4413,3,HBS,SY,General,NB,4.4956,2.45883847900076
4887,4430,3,HBS,SY,General,NB,4.4956,2.45883847900076
5064,4280,3,HBW,SY,General,NB,4.4956,2.45883847900076
4877,4662,3,HBS,SY,General,NB,4.4956,2.45883847900076
4952,4095,3,HBW,SY,General,NB,4.4956,2.45883847900076
5304,4539,3,HBW,SY,General,NB,4.4956,2.45883847900076
5290,4642,3,HBW,SY,General,NB,4.4956,2.45883847900076
4887,4646,3,HBS,SY,General,NB,4.4956,2.45883847900076
5030,4577,3,HBW,SY,General,NB,4.4956,2.45883847900076
5304,4646,3,HBS,SY,General,NB,4.4956,2.45883847900076
5302,4238,3,HBS,SY,General,NB,4.4956,2.45883847900076
5311,4339,3,HBS,SY,General,NB,4.4956,2.45883847900076
5122,4453,3,HBS,SY,General,NB,4.4956,2.45883847900076
5125,4529,3,HBS,SY,General,NB,4.4956,2.45883847900076
5293,4662,3,HBO,SY,General,NB,4.4956,2.45883847900076
5311,4443,3,HBS,SY,General,NB,4.4956,2.45883847900076
5064,4339,3,HBW,SY,General,NB,4.4956,2.45883847900076
4803,4503,3,HBS,SY,General,NB,4.4956,2.45883847900076
5283,4662,3,HBW,SY,General,NB,4.4956,2.45883847900076
4734,2730,3,HBS,SY,General,NB,4.4956,2.45883847900076
4818,4662,3,HBS,SY,General,NB,4.4956,2.45883847900076
4818,4407,3,HBO,SY,General,NB,4.4956,2.45883847900076
4941,4280,3,HBO,SY,General,NB,4.4956,2.45883847900076
4737,4642,3,HBS,SY,General,NB,4.4956,2.45883847900076
5311,3711,3,HBO,SY,General,NB,4.4956,2.45883847900076
5064,4430,3,HBS,SY,General,NB,4.4956,2.45883847900076
5299,4430,3,HBW,SY,General,NB,4.4956,2.45883847900076
5283,3978,3,HBS,SY,General,NB,4.4956,2.45883847900076
4723,4374,3,HBO,SY,General,NB,4.4956,2.45883847900076
4737,3801,3,HBO,SY,General,NB,4.4956,2.45883847900076
4728,3280,3,HBO,SY,General,NB,4.4956,2.45883847900076
4818,4339,3,HBS,SY,General,NB,4.4956,2.45883847900076
4736,4662,3,HBO,SY,General,NB,4.4956,2.45883847900076
4921,4664,3,HBO,SY,General,NB,4.4956,2.45883847900076
4902,4307,3,HBW,SY,General,NB,4.4956,2.45883847900076
5291,4660,3,HBS,SY,General,NB,4.4956,2.45883847900076
5000,4526,3,HBW,SY,General,NB,4.4956,2.45883847900076
5300,4378,3,HBS,SY,General,NB,4.4956,2.45883847900076
4829,4590,3,HBW,SY,General,NB,4.4956,2.45883847900076
5285,4661,3,HBS,SY,General,NB,4.4956,2.45883847900076
4829,4661,3,HBS,SY,General,NB,4.4956,2.45883847900076
5311,4531,3,HBW,SY,General,NB,4.4956,2.45883847900076
4815,4374,3,HBS,SY,General,NB,4.4956,2.45883847900076
5311,4590,3,HBS,SY,General,NB,4.4956,2.45883847900076
5064,4490,3,HBW,SY,General,NB,4.4956,2.45883847900076
4734,4646,3,HBS,SY,General,NB,4.4956,2.45883847900076
5030,4407,3,HBW,SY,General,NB,4.4956,2.45883847900076
5154,4629,3,HBW,SY,General,NB,4.4956,2.45883847900076
5311,4430,3,HBS,SY,General,NB,4.4956,2.45883847900076
5311,4661,3,HBS,SY,General,NB,4.4956,2.45883847900076
4889,4660,3,HBS,SY,General,NB,4.4956,2.45883847900076
5080,4246,3,HBW,SY,General,NB,4.4956,2.45883847900076
5064,4664,3,HBW,SY,General,NB,4.4956,2.45883847900076
4890,4664,3,HBO,SY,General,NB,4.4956,2.45883847900076
5285,4430,3,HBS,SY,General,NB,4.4956,2.45883847900076
5306,3646,3,HBW,SY,General,NB,4.4956,2.45883847900076
5301,4443,3,HBS,SY,General,NB,4.4956,2.45883847900076
5306,4443,3,HBS,SY,General,NB,4.4956,2.45883847900076
4806,4660,3,HBO,SY,General,NB,4.4956,2.45883847900076
5306,4430,3,HBS,SY,General,NB,4.4956,2.45883847900076
5311,4642,3,HBS,SY,General,NB,4.4956,2.45883847900076
4883,4664,3,HBW,SY,General,NB,4.4956,2.45883847900076
5308,4430,3,HBS,SY,General,NB,4.4956,2.45883847900076
4877,4340,3,HBW,SY,General,NB,4.4956,2.45883847900076
4905,4664,3,HBS,SY,General,NB,4.4956,2.45883847900076
5173,4275,3,HBO,SY,General,NB,4.4956,2.45883847900076
4737,4430,3,HBS,SY,General,NB,4.4956,2.45883847900076
4887,4419,3,HBS,SY,General,NB,4.4956,2.45883847900076
4878,4642,3,HBO,SY,General,NB,4.4956,2.45883847900076
5058,4202,3,HBS,SY,General,NB,4.4956,2.45883847900076
5268,4430,3,HBW,SY,General,NB,4.4956,2.45883847900076
4950,4475,3,HBS,SY,General,NB,4.4956,2.45883847900076
5304,4642,3,HBS,SY,General,NB,4.4956,2.45883847900076
5289,2809,3,HBW,SY,General,NB,4.4956,2.45883847900076
5283,4453,3,HBS,SY,General,NB,4.4956,2.45883847900076
4759,4456,3,HBW,SY,General,NB,4.4956,2.45883847900076
