FromZone,ToZone,ArHour,Purpose,POE,Lane,Dir,OrigWght,RevWght
5289,238,1,HBO,OM,General,NB,5.1455,2.7786971143605377
5308,4531,1,HBW,OM,General,NB,5.1455,2.7786971143605377
4696,4347,1,HBW,OM,General,NB,5.1455,2.7786971143605377
5304,3798,1,HBO,OM,General,NB,5.1455,2.7786971143605377
5039,4659,1,HBS,OM,General,NB,5.1455,2.7786971143605377
4716,4471,1,HBS,OM,General,NB,5.1455,2.7786971143605377
5311,4660,1,HBS,OM,General,NB,5.1455,2.7786971143605377
5012,4339,1,HBS,OM,General,NB,5.1455,2.7786971143605377
5306,4572,1,HBO,OM,General,NB,5.1455,2.7786971143605377
4848,4609,1,HBW,OM,General,NB,5.1455,2.7786971143605377
5302,4430,1,HBS,OM,General,NB,5.1455,2.7786971143605377
5289,4615,1,HBO,OM,General,NB,5.1455,2.7786971143605377
5223,1195,1,HBW,OM,General,NB,5.1455,2.7786971143605377
5211,2093,1,HBO,OM,General,NB,5.1455,2.7786971143605377
4915,4590,1,HBW,OM,General,NB,5.1455,2.7786971143605377
5306,4663,1,HBS,OM,General,NB,5.1455,2.7786971143605377
5208,4661,1,HBW,OM,General,NB,5.1455,2.7786971143605377
5311,4480,1,HBS,OM,General,NB,5.1455,2.7786971143605377
5289,3864,1,HBS,OM,General,NB,5.1455,2.7786971143605377
4695,4481,1,HBS,OM,General,NB,5.1455,2.7786971143605377
5311,4658,1,HBS,OM,General,NB,5.1455,2.7786971143605377
4904,4344,1,HBO,OM,General,NB,5.1455,2.7786971143605377
5122,4591,1,HBS,OM,General,NB,5.1455,2.7786971143605377
4851,4643,1,HBS,OM,General,NB,5.1455,2.7786971143605377
5304,4647,1,HBW,OM,General,NB,5.1455,2.7786971143605377
4737,4185,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5300,3809,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4904,4347,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4737,3801,1,HBO,SY,General,NB,4.4188,2.3862611621942205
4878,4661,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4829,4581,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4889,4377,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4941,4662,1,HBO,SY,General,NB,4.4188,2.3862611621942205
4946,4443,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4737,4339,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4904,4208,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5173,4613,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4829,4664,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4953,4503,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4737,4483,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5297,4664,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4891,4591,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4890,4503,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5304,4430,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5311,4637,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4878,4637,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5064,3822,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4733,4072,1,HBW,SY,General,NB,4.4188,2.3862611621942205
4850,4430,1,HBW,SY,General,NB,4.4188,2.3862611621942205
5303,4651,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5146,4021,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4950,4642,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5006,4661,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5300,4660,1,HBO,SY,General,NB,4.4188,2.3862611621942205
5302,4661,1,HBS,SY,General,NB,4.4188,2.3862611621942205
4941,4493,1,HBS,SY,General,NB,4.4188,2.3862611621942205
5122,4577,1,HBS,SY,General,NB,4.4188,2.3862611621942205
