HOUR,TIME,SY_GP_OPEN,SY_GP_VEH,SY_GP_STL,SY_GP_STV,SY_RE_OPEN,SY_RE_VEH,SY_RE_STL,SY_RE_STV,SY_SE_OPEN,SY_SE_VEH,SY_SE_STL,SY_SE_STV,SY_SB_OPEN,SY_SB_VEH,SY_SB_STL,SY_SB_STV,OM_GP_OPEN,OM_GP_VEH,OM_GP_STL,OM_GP_STV,OM_RE_OPEN,OM_RE_VEH,OM_RE_STL,OM_RE_STV,OM_SE_OPEN,OM_SE_VEH,OM_SE_STL,OM_SE_STV,OM_SB_OPEN,OM_SB_VEH,OM_SB_STL,OM_SB_STV,OMC_GP_OPEN,OMC_GP_VEH,OMC_GP_STL,OMC_GP_STV,OMC_SP_OPEN,OMC_SP_VEH,OMC_SP_STL,OMC_SP_STV,OMC_SB_OPEN,OMC_SB_VEH,OMC_SB_STL,OMC_SB_STV,OME_GP_OPEN,OME_GP_VEH,OME_GP_STL,OME_GP_STV,OME_RE_OPEN,OME_RE_VEH,OME_RE_STL,OME_RE_STV,OME_SE_OPEN,OME_SE_VEH,OME_SE_STL,OME_SE_STV,OME_SB_OPEN,OME_SB_VEH,OME_SB_STL,OME_SB_STV,OMEC_GP_OPEN,OMEC_GP_VEH,OMEC_GP_STL,OMEC_GP_STV,OMEC_SP_OPEN,OMEC_SP_VEH,OMEC_SP_STL,OMEC_SP_STV,OMEC_SB_OPEN,OMEC_SB_VEH,OMEC_SB_STL,OMEC_SB_STV
0,1,5,60,4,76,2.5,69,2,77,0.5,145,0,145,3,615,0,615,2,60,0,76,1,69,0,77,0,145,0,145,2,615,0,615,1,19,0,19,1,21,0,21,4,50,0,50,2,60,1.5,76,2.5,69,1.5,77,0.5,145,0,145,3,615,0,615,1,19,0,19,1,21,0,21,4,50,0,50
1,2,6,60,4,76,3,69,1,77,0.5,145,0,145,3,615,0,615,2,60,0,76,1,69,0,77,0,145,0,145,2,615,0,615,1,19,0,19,1,21,0,21,4,50,0,50,2,60,1.5,76,2.5,69,2.5,77,0.5,145,0,145,3,615,0,615,1,19,0,19,1,21,0,21,4,50,0,50
2,3,7,60,7,76,4,69,1,77,0.5,145,0,145,3,615,0,615,2.5,60,0,76,1,69,0,77,0,145,0,145,2,615,0,615,1,19,0,19,1,21,0,21,4,50,0,50,2.5,60,2,76,1,69,1,77,0.5,145,0,145,3,615,0,615,1,19,0,19,1,21,0,21,4,50,0,50
3,4,9,60,9,76,5,69,4,77,1,145,0,145,3,615,0,615,2.5,60,0,76,1,69,0,77,0,145,0,145,2,615,0,615,1,19,0,19,1,21,0,21,4,50,0,50,3.5,60,2,76,1,69,1,77,0.5,145,0,145,3,615,0,615,1,19,0,19,1,21,0,21,4,50,0,50
4,5,11,60,10,76,7,69,1,77,1.5,145,0,145,3,615,0,615,3.5,60,0,76,4.5,69,0,77,0,145,0,145,2,615,0,615,3,19,0,19,1,21,0,21,4,50,0,50,4.5,60,2.5,76,4.5,69,1,77,1,145,0,145,3,615,0,615,5,19,0,19,1,21,0,21,4,50,0,50
5,6,11,60,10,76,6,69,0,77,3,145,0,145,3,615,0,615,4.5,60,0,76,5,69,0,77,0.5,145,0,145,2,615,0,615,3,19,0,19,2,21,0,21,4,50,0,50,5,60,1.5,76,3.5,69,2,77,1.5,145,0,145,3,615,0,615,5,19,0,19,2,21,0,21,4,50,0,50
6,7,9.5,60,9.5,76,5.5,69,2,77,4.5,145,0,145,3,615,0,615,5,60,0,76,5.5,69,0,77,1,145,0,145,2,615,0,615,3,19,0,19,2,21,0,21,4,50,0,50,5,60,2.5,76,3,69,2,77,2,145,0,145,3,615,0,615,5,19,0,19,2,21,0,21,4,50,0,50
7,8,9.5,60,9.5,76,4,69,4,77,5.5,145,0,145,3,615,0,615,4.5,60,0,76,6,69,0,77,1.5,145,0,145,2,615,0,615,6,19,0,19,3,21,0,21,4,50,0,50,5,60,2.5,76,4,69,3,77,1,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
8,9,9.5,60,8,76,5,69,2,77,5,145,0,145,3,615,0,615,4,60,0,76,6.5,69,0,77,1.5,145,0,145,2,615,0,615,6,19,0,19,3,21,0,21,4,50,0,50,5.5,60,2,76,4,69,3,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
9,10,9.5,60,5,76,5,69,4,77,4.5,145,0,145,3,615,0,615,4,60,0,76,6,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5.5,60,2.5,76,4,69,3,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
10,11,10,60,5,76,4.5,69,4,77,3.5,145,0,145,3,615,0,615,4,60,0,76,5.5,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,2.5,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
