HOUR,TIME,SY_GP_OPEN,SY_GP_VEH,SY_GP_STL,SY_GP_STV,SY_RE_OPEN,SY_RE_VEH,SY_RE_STL,SY_RE_STV,SY_SE_OPEN,SY_SE_VEH,SY_SE_STL,SY_SE_STV,SY_SB_OPEN,SY_SB_VEH,SY_SB_STL,SY_SB_STV,OM_GP_OPEN,OM_GP_VEH,OM_GP_STL,OM_GP_STV,OM_RE_OPEN,OM_RE_VEH,OM_RE_STL,OM_RE_STV,OM_SE_OPEN,OM_SE_VEH,OM_SE_STL,OM_SE_STV,OM_SB_OPEN,OM_SB_VEH,OM_SB_STL,OM_SB_STV,OMC_GP_OPEN,OMC_GP_VEH,OMC_GP_STL,OMC_GP_STV,OMC_SP_OPEN,OMC_SP_VEH,OMC_SP_STL,OMC_SP_STV,OMC_SB_OPEN,OMC_SB_VEH,OMC_SB_STL,OMC_SB_STV,OME_GP_OPEN,OME_GP_VEH,OME_GP_STL,OME_GP_STV,OME_RE_OPEN,OME_RE_VEH,OME_RE_STL,OME_RE_STV,OME_SE_OPEN,OME_SE_VEH,OME_SE_STL,OME_SE_STV,OME_SB_OPEN,OME_SB_VEH,OME_SB_STL,OME_SB_STV,OMEC_GP_OPEN,OMEC_GP_VEH,OMEC_GP_STL,OMEC_GP_STV,OMEC_SP_OPEN,OMEC_SP_VEH,OMEC_SP_STL,OMEC_SP_STV,OMEC_SB_OPEN,OMEC_SB_VEH,OMEC_SB_STL,OMEC_SB_STV
11,12,10,60,2,76,4,69,4,77,4,145,0,145,3,615,0,615,3.5,60,0,76,5.5,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,2,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
12,13,9.5,60,4,76,4,69,4,77,4,145,0,145,3,615,0,615,4,60,0,76,5.5,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,2.5,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
13,14,9,60,4,76,4,69,4,77,4,145,0,145,3,615,0,615,3.5,60,0,76,5.5,69,0,77,2,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,2.5,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
14,15,9,60,5,76,3.5,69,2,77,4.5,145,0,145,3,615,0,615,3.5,60,0,76,5,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,4.5,60,2.5,76,5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
15,16,10,60,4,76,3.5,69,3.5,77,4,145,0,145,3,615,0,615,4,60,0,76,5,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,2.5,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
16,17,9.5,60,4,76,4,69,1,77,4,145,0,145,3,615,0,615,4,60,0,76,4,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,2.5,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
17,18,9.5,60,4,76,4,69,4,77,4,145,0,145,3,615,0,615,4,60,0,76,4,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,3,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
18,19,9.5,60,4,76,4,69,1,77,4,145,0,145,3,615,0,615,4,60,0,76,4,69,0,77,1.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,2.5,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
19,20,9.5,60,2,76,4,69,1.5,77,4,145,0,145,3,615,0,615,4,60,0,76,3.5,69,0,77,1,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,2.5,76,4.5,69,4.5,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
20,21,9,60,5,76,4,69,4,77,3,145,0,145,3,615,0,615,4,60,0,76,3,69,0,77,1,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,5,60,3,76,4.5,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
21,22,8.5,60,4,76,4,69,4,77,2.5,145,0,145,3,615,0,615,4,60,0,76,2.5,69,0,77,0.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,4,60,3,76,4,69,4,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
22,23,8.5,60,3,76,4,69,2,77,2,145,0,145,3,615,0,615,4,60,0,76,2.5,69,0,77,0.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,4,60,2,76,4,69,3.5,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
23,24,7.5,60,2,76,3.5,69,2,77,1,145,0,145,3,615,0,615,3.5,60,0,76,1.5,69,0,77,0.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,3.5,60,3,76,2,69,1.5,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
24,25,7.5,60,2,76,3.5,69,2,77,1,145,0,145,3,615,0,615,3.5,60,0,76,1.5,69,0,77,0.5,145,0,145,2,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50,3.5,60,2,76,2,69,1.5,77,0.5,145,0,145,3,615,0,615,7,19,0,19,3,21,0,21,4,50,0,50
