Time,POE,Lane,Open Lanes,Stacked Lanes,Volume,Capacity,Unprocessed,Wait Time,NB POV Toll,NB Trk Toll,SB POV Toll,SB Trk Toll
1,"SY","POV_GP",7.000000,5.500000,1009.176330,508.000000,501.176330,29.597027,2.000000,10.000000,1.000000,5.000000
1,"SY","POV_RE",3.500000,1.500000,384.141903,253.500000,130.641903,15.460580,2.000000,10.000000,1.000000,5.000000
1,"SY","POV_SE",0.500000,0.000000,69.494112,72.500000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"SY","POV_SB",4.000000,0.000000,1057.528770,2460.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","POV_GP",3.000000,0.000000,343.650043,180.000000,163.650043,27.275007,2.000000,10.000000,1.000000,5.000000
1,"OM","POV_RE",1.500000,0.000000,141.901737,103.500000,38.401737,11.130938,2.000000,10.000000,1.000000,5.000000
1,"OM","POV_SE",0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","POV_SB",2.000000,0.000000,687.172508,1230.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","COM_GP",0.500000,0.000000,0.000000,9.500000,0.000000,35.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","COM_SP",0.500000,0.000000,0.000000,10.500000,0.000000,35.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","COM_SB",4.000000,0.000000,0.000000,200.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","POV_GP",3.500000,1.500000,309.042742,234.000000,75.042742,9.620864,2.000000,10.000000,1.000000,5.000000
1,"OME","POV_RE",1.000000,0.000000,43.255455,69.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","POV_SE",0.500000,0.000000,0.000000,72.500000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","POV_SB",3.000000,0.000000,0.000000,1845.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","COM_GP",0.500000,0.000000,0.000000,9.500000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","COM_SP",0.500000,0.000000,0.000000,10.500000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","COM_SB",4.000000,0.000000,0.000000,200.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
2,"SY","POV_GP",7.000000,2.000000,866.090697,452.000000,414.090697,27.483896,2.000000,10.000000,1.000000,5.000000
2,"SY","POV_RE",3.000000,0.000000,343.294428,207.000000,136.294428,19.752816,2.000000,10.000000,1.000000,5.000000
2,"SY","POV_SE",0.500000,0.000000,101.627045,72.500000,29.127045,12.052570,2.000000,10.000000,1.000000,5.000000
2,"SY","POV_SB",4.000000,0.000000,961.733719,2460.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
2,"OM","POV_GP",1.500000,0.000000,178.856692,90.000000,88.856692,29.618897,2.000000,10.000000,1.000000,5.000000
2,"OM","POV_RE",1.500000,0.000000,158.171550,103.500000,54.671550,15.846826,2.000000,10.000000,1.000000,5.000000
