Time,POE,Lane,Open Lanes,Stacked Lanes,Volume,Capacity,Unprocessed,Wait Time,NB POV Toll,NB Trk Toll,SB POV Toll,SB Trk Toll
1,"SY","POV_GP",7.500000,5.500000,1046.072113,538.000000,508.072113,28.331159,2.000000,10.000000,1.000000,5.000000
1,"SY","POV_RE",3.500000,2.500000,398.076647,261.500000,136.576647,15.668449,2.000000,10.000000,1.000000,5.000000
1,"SY","POV_SE",0.500000,0.000000,71.688227,72.500000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"SY","POV_SB",4.000000,0.000000,1116.280403,2460.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","POV_GP",3.500000,0.000000,390.902155,210.000000,180.902155,25.843165,2.000000,10.000000,1.000000,5.000000
1,"OM","POV_RE",1.500000,0.000000,142.536275,103.500000,39.036275,11.314862,2.000000,10.000000,1.000000,5.000000
1,"OM","POV_SE",0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","POV_SB",2.000000,0.000000,725.348808,1230.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","COM_GP",0.500000,0.000000,0.000000,9.500000,0.000000,40.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","COM_SP",0.500000,0.000000,0.000000,10.500000,0.000000,40.000000,2.000000,10.000000,1.000000,5.000000
1,"OM","COM_SB",4.000000,0.000000,0.000000,200.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","POV_GP",3.500000,0.500000,285.554241,218.000000,67.554241,9.296455,2.000000,10.000000,1.000000,5.000000
1,"OME","POV_RE",1.000000,0.000000,50.313893,69.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","POV_SE",0.500000,0.000000,0.000000,72.500000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","POV_SB",3.000000,0.000000,0.000000,1845.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","COM_GP",0.500000,0.000000,0.000000,9.500000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","COM_SP",0.500000,0.000000,0.000000,10.500000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
1,"OME","COM_SB",4.000000,0.000000,0.000000,200.000000,0.000000,0.000000,2.000000,10.000000,1.000000,5.000000
2,"SY","POV_GP",7.500000,0.500000,877.929007,458.000000,419.929007,27.506267,2.000000,10.000000,1.000000,5.000000
