Time,POE,Lane,Open,Stacked,Volume,Capacity,Unmet,Wait Time,NB POV Toll,NB Trk Toll,SB POV Toll,SB Trk Toll
1,"SY","POV_GP",7.000000,0.000000,749.985619,392.000000,357.985619,27.396859,0.000000,0.000000,0.000000,0.000000
1,"SY","POV_RE",5.000000,0.000000,532.133149,310.000000,222.133149,21.496756,0.000000,0.000000,0.000000,0.000000
1,"SY","POV_SE",1.000000,0.000000,125.687768,116.000000,9.687768,2.505457,0.000000,0.000000,0.000000,0.000000
1,"SY","POV_SB",5.000000,0.000000,656.467482,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,"OM","POV_GP",1.000000,0.000000,133.189393,60.000000,73.189393,36.594696,0.000000,0.000000,0.000000,0.000000
1,"OM","POV_RE",2.000000,0.000000,217.808577,158.000000,59.808577,11.356059,0.000000,0.000000,0.000000,0.000000
1,"OM","POV_SE",0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,"OM","POV_SB",2.000000,0.000000,268.133482,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,"OM","COM_GP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,"OM","COM_SP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,"OM","COM_SB",4.000000,0.000000,0.000000,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,"SY","POV_GP",5.000000,0.000000,559.893122,280.000000,279.893122,29.988549,0.000000,0.000000,0.000000,0.000000
2,"SY","POV_RE",7.000000,0.000000,725.662482,434.000000,291.662482,20.161001,0.000000,0.000000,0.000000,0.000000
2,"SY","POV_SE",1.000000,0.000000,62.548048,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,"SY","POV_SB",5.000000,0.000000,473.516850,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,"OM","POV_GP",2.000000,0.000000,201.788763,120.000000,81.788763,20.447191,0.000000,0.000000,0.000000,0.000000
2,"OM","POV_RE",2.000000,0.000000,222.514489,158.000000,64.514489,12.249587,0.000000,0.000000,0.000000,0.000000
2,"OM","POV_SE",0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,"OM","POV_SB",2.000000,0.000000,210.451935,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,"OM","COM_GP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,"OM","COM_SP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,"OM","COM_SB",4.000000,0.000000,0.000000,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,"SY","POV_GP",5.000000,0.000000,591.643617,280.000000,311.643617,33.390387,0.000000,0.000000,0.000000,0.000000
3,"SY","POV_RE",10.000000,0.000000,1111.216808,620.000000,491.216808,23.768555,0.000000,0.000000,0.000000,0.000000
3,"SY","POV_SE",1.000000,0.000000,77.906816,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,"SY","POV_SB",5.000000,0.000000,372.906654,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,"OM","POV_GP",2.000000,0.000000,219.453809,120.000000,99.453809,24.863452,0.000000,0.000000,0.000000,0.000000
3,"OM","POV_RE",2.000000,0.000000,225.960804,158.000000,67.960804,12.903950,0.000000,0.000000,0.000000,0.000000
3,"OM","POV_SE",0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,"OM","POV_SB",2.000000,0.000000,200.795891,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,"OM","COM_GP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,"OM","COM_SP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,"OM","COM_SB",4.000000,0.000000,0.000000,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,"SY","POV_GP",5.000000,0.000000,657.641524,280.000000,377.641524,40.461592,0.000000,0.000000,0.000000,0.000000
4,"SY","POV_RE",11.000000,0.000000,1176.401680,682.000000,494.401680,21.747874,0.000000,0.000000,0.000000,0.000000
4,"SY","POV_SE",2.000000,0.000000,225.874000,232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,"SY","POV_SB",5.000000,0.000000,498.635178,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,"OM","POV_GP",2.000000,0.000000,247.924622,120.000000,127.924622,31.981155,0.000000,0.000000,0.000000,0.000000
4,"OM","POV_RE",4.000000,0.000000,494.941841,316.000000,178.941841,16.988150,0.000000,0.000000,0.000000,0.000000
4,"OM","POV_SE",0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,"OM","POV_SB",2.000000,0.000000,38.356552,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,"OM","COM_GP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,"OM","COM_SP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,"OM","COM_SB",4.000000,0.000000,0.000000,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,"SY","POV_GP",7.000000,6.000000,1264.908638,524.000000,740.908638,42.418433,0.000000,0.000000,0.000000,0.000000
